date;temp
2022-01-01;-1.4
2022-01-02;1.9
2022-01-03;3.6
2022-01-04;0.6
2022-01-05;-2.2
2022-01-06;-6.7
2022-01-07;-5.8
2022-01-08;-0.5
2022-01-09;-0.9
2022-01-10;-2.3
2022-01-11;-1.1
2022-01-12;1.3
2022-01-13;6.0
2022-01-14;3.1
2022-01-15;-0.4
2022-01-16;2.1
2022-01-17;0.3
2022-01-18;0.0
2022-01-19;3.5
2022-01-20;-2.7
2022-01-21;-3.4
2022-01-22;-4.5
2022-01-23;-1.2
2022-01-24;2.9
2022-01-25;-0.4
2022-01-26;1.3
2022-01-27;1.7
2022-01-28;0.0
2022-01-29;2.3
2022-01-30;-1.1
2022-01-31;-3.3
2022-02-01;-5.2
2022-02-02;-5.8
2022-02-03;-4.1
2022-02-04;1.9
2022-02-05;0.7
2022-02-06;1.8
2022-02-07;-0.8
2022-02-08;1.3
2022-02-09;2.6
2022-02-10;2.3
2022-02-11;-1.5
2022-02-12;0.9
2022-02-13;2.1
2022-02-14;1.9
2022-02-15;3.4
2022-02-16;2.0
2022-02-17;-0.1
2022-02-18;0.4
2022-02-19;-1.0
2022-02-20;-2.3
2022-02-21;-0.4
2022-02-22;-4.6
2022-02-23;-1.8
2022-02-24;2.7
2022-02-25;1.2
2022-02-26;-0.5
2022-02-27;2.5
2022-02-28;0.8
2022-03-01;2.6
2022-03-02;1.5
2022-03-03;0.9
2022-03-04;-0.2
2022-03-05;-0.3
2022-03-06;1.3
2022-03-07;2.7
2022-03-08;2.5
2022-03-09;1.7
2022-03-10;1.2
2022-03-11;1.3
2022-03-12;3.9
2022-03-13;4.2
2022-03-14;4.5
2022-03-15;2.8
2022-03-16;4.0
2022-03-17;1.9
2022-03-18;5.1
2022-03-19;5.7
2022-03-20;7.1
2022-03-21;5.6
2022-03-22;5.7
2022-03-23;5.5
2022-03-24;7.3
2022-03-25;8.0
2022-03-26;3.9
2022-03-27;4.2
2022-03-28;7.8
2022-03-29;-2.3
2022-03-30;-1.6
2022-03-31;-0.3
2022-04-01;-1.4
2022-04-02;-0.4
2022-04-03;2.3
2022-04-04;1.1
2022-04-05;-2.0
2022-04-06;1.1
2022-04-07;0.6
2022-04-08;0.4
2022-04-09;-0.3
2022-04-10;4.1
2022-04-11;5.8
2022-04-12;5.9
2022-04-13;5.7
2022-04-14;3.6
2022-04-15;4.6
2022-04-16;5.8
2022-04-17;9.1
2022-04-18;11.0
2022-04-19;9.1
2022-04-20;8.5
2022-04-21;9.6
2022-04-22;8.9
2022-04-23;6.5
2022-04-24;5.3
2022-04-25;6.7
2022-04-26;6.1
2022-04-27;4.2
2022-04-28;6.7
2022-04-29;4.8
2022-04-30;7.5
2022-05-01;8.7
2022-05-02;10.6
2022-05-03;6.1
2022-05-04;6.7
2022-05-05;11.6
2022-05-06;12.4
2022-05-07;7.8
2022-05-08;7.2
2022-05-09;9.8
2022-05-10;10.5
2022-05-11;10.8
2022-05-12;11.2
2022-05-13;11.2
2022-05-14;10.3
2022-05-15;10.1
2022-05-16;8.1
2022-05-17;7.7
2022-05-18;12.7
2022-05-19;15.5
2022-05-20;9.2
2022-05-21;9.2
2022-05-22;9.9
2022-05-23;12.1
2022-05-24;12.6
2022-05-25;13.5
2022-05-26;11.6
2022-05-27;10.1
2022-05-28;8.5
2022-05-29;9.8
2022-05-30;10.9
2022-05-31;9.5
2022-06-01;12.7
2022-06-02;9.7
2022-06-03;13.1
2022-06-04;15.1
2022-06-05;16.1
2022-06-06;12.8
2022-06-07;13.9
2022-06-08;15.7
2022-06-09;16.5
2022-06-10;17.8
2022-06-11;16.7
2022-06-12;15.5
2022-06-13;15.2
2022-06-14;15.7
2022-06-15;16.1
2022-06-16;16.5
2022-06-17;17.5
2022-06-18;15.9
2022-06-19;15.8
2022-06-20;13.2
2022-06-21;17.1
2022-06-22;16.4
2022-06-23;19.4
2022-06-24;20.6
2022-06-25;22.0
2022-06-26;23.1
2022-06-27;24.1
2022-06-28;24.1
2022-06-29;19.6
2022-06-30;22.4
