,min_samples,sc,db,ch
0,2,-0.5282399556474731,1.994509807632168,38.55818531469599
1,3,-0.5056225901669494,2.044043324510854,52.25375451046283
2,4,-0.27621064705175363,1.7696997483817416,265.50198264083866
3,5,-0.2494791120177105,2.0432978428358073,371.9559037062404
4,6,-0.1625441077638544,1.4257723308764814,596.0997149952352
5,7,-0.14334021361503563,1.552600511857066,539.3135912692194
6,8,-0.09197686867891944,1.1991537574387339,451.14832225411254
7,9,-0.07475907455443537,1.1693216680255138,377.27163593186714
8,10,-0.09528401231198166,1.168324302980821,315.02995613697016
9,11,-0.11920771314226909,1.158745120313724,261.2287421176718
10,12,-0.1811591363648216,1.0522916813359882,243.23038584151595
11,13,-0.17129812379794102,1.0906434440729085,242.87536518055876
12,14,-0.18620404044622071,1.004030290604887,248.20653374772326
13,15,-0.24425577707005125,0.9951463605335237,223.0058161074095
14,16,-0.24352745166293274,1.0015604801247928,202.63927826068596
15,17,-0.25335929343872643,1.079577588106256,194.79155263714247
16,18,-0.2890091485110411,0.9950296651936611,164.57602440120547
17,19,-0.3462375687886808,1.0330329603729598,133.23498154993
18,20,-0.3667078801748713,1.040524981481862,142.16253841021924
19,21,-0.37619413766387333,1.0207943871038099,148.28160938991735
20,22,-0.41239404618070363,1.0168162027724053,126.78779912297809
21,23,-0.42804308620376896,0.9995299231999448,120.63569342168132
22,24,-0.4822935244875488,0.9785312918170154,96.56557231963133
23,25,-0.4875759209247189,1.0195830153279288,85.45025654149097
